particleCap,steps,rank,function,lineno,hits,time_s,code
750,1000,1,main,190,67453442,277.7253,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
750,1000,2,main,195,67453442,220.9743,"                row = int(coords[n,0])"
750,1000,3,main,196,67453442,212.6904,"                column = int(coords[n,1])"
750,1000,4,main,198,67453442,184.8046,                if check == 0:
750,1000,5,main,197,67453442,172.6599,"                check = correlationLattice[row, column]"
750,1000,6,main,199,63680856,147.0787,                    empty += 1
750,1000,7,main,194,67460932,118.2259,            for n in range(len(coords)):
750,1000,8,main,189,67460932,110.6717,            for n in range(len(coordsToCheck[0])):
750,1000,9,main,144,749,100.9406,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
750,1000,10,particle_collision,58,749,34.5517,    stickyInitialTest = np.nonzero(lattice)
750,1000,11,main,145,749,34.4713,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
750,1000,12,particle_collision,68,749,34.2371,    latticeCheck = np.nonzero(lattice)
750,1000,13,lattice_radius_check,78,749,34.1619,    latticeRadiusInitial = np.nonzero(lattice)
750,1000,14,main,130,2010,32.3080,"            path = generate_path(steps, startingPosition)"
750,1000,15,particle_collision,63,1126496,17.5911,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
750,1000,16,generate_path,47,2007990,17.2274,        path[n+1] = particlePosition + movements[direction[n]]
750,1000,17,main,135,1519850,10.9524,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
750,1000,18,main,184,690578,9.5561,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
750,1000,19,main,201,3772586,7.2708,                    filled += 1
750,1000,20,main,187,7490,4.6071,            coordsToCheck = np.where(circleSelection == True)
1000,100,1,main,190,89967942,364.6263,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
1000,100,2,main,195,89967942,294.7511,"                row = int(coords[n,0])"
1000,100,3,main,196,89967942,289.1106,"                column = int(coords[n,1])"
1000,100,4,main,198,89967942,248.3220,                if check == 0:
1000,100,5,main,197,89967942,217.4637,"                check = correlationLattice[row, column]"
1000,100,6,main,199,83792370,195.4727,                    empty += 1
1000,100,7,main,194,89977932,156.8818,            for n in range(len(coords)):
1000,100,8,main,189,89977932,150.7343,            for n in range(len(coordsToCheck[0])):
